Testing jepsen.system.elasticsearch-test
INFO  jepsen.os.debian - :n1 setting up debian
INFO  jepsen.os.debian - :n2 setting up debian
INFO  jepsen.os.debian - :n5 setting up debian
INFO  jepsen.os.debian - :n3 setting up debian
INFO  jepsen.os.debian - :n4 setting up debian
INFO  jepsen.os.debian - :n1 debian set up
INFO  jepsen.os.debian - :n4 debian set up
INFO  jepsen.os.debian - :n2 debian set up
INFO  jepsen.os.debian - :n3 debian set up
INFO  jepsen.os.debian - :n5 debian set up
INFO  jepsen.system.elasticsearch - :n4 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n2 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n1 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n5 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n3 elasticsearch nuked
INFO  jepsen.system.elasticsearch - :n5 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n2 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n1 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n3 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n4 configuring elasticsearch
INFO  jepsen.system.elasticsearch - :n1 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n2 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n4 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n3 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n5 starting elasticsearch
INFO  jepsen.system.elasticsearch - :n2 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n1 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n3 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n5 elasticsearch ready
INFO  jepsen.system.elasticsearch - :n4 elasticsearch ready
INFO  jepsen.core - Worker 1 starting
INFO  jepsen.core - Worker 2 starting
INFO  jepsen.core - Worker 3 starting
INFO  jepsen.core - Worker 4 starting
INFO  jepsen.core - Worker 0 starting
INFO  jepsen.util - 0 :invoke :add  1
INFO  jepsen.util - 2 :invoke :add  2
INFO  jepsen.util - 3 :invoke :add  0
INFO  jepsen.util - 1 :invoke :add  4
INFO  jepsen.util - 4 :invoke :add  3
INFO  jepsen.util - 0 :ok :add  1
INFO  jepsen.util - 3 :ok :add  0
INFO  jepsen.util - 2 :ok :add  2
INFO  jepsen.util - 4 :ok :add  3
INFO  jepsen.util - 1 :ok :add  4
INFO  jepsen.util - 0 :invoke :add  5
INFO  jepsen.util - 3 :invoke :add  6
INFO  jepsen.util - 4 :invoke :add  8
INFO  jepsen.util - 2 :invoke :add  7
INFO  jepsen.util - 1 :invoke :add  9
INFO  jepsen.util - 0 :ok :add  5
INFO  jepsen.util - 2 :ok :add  7
INFO  jepsen.util - 3 :ok :add  6
INFO  jepsen.util - 4 :ok :add  8
INFO  jepsen.util - 1 :ok :add  9
INFO  jepsen.util - 0 :invoke :add  10
INFO  jepsen.util - 2 :invoke :add  11
INFO  jepsen.util - 3 :invoke :add  12
INFO  jepsen.util - 4 :invoke :add  13
INFO  jepsen.util - 1 :invoke :add  14
INFO  jepsen.util - 0 :ok :add  10
INFO  jepsen.util - 3 :ok :add  12
INFO  jepsen.util - 1 :ok :add  14
INFO  jepsen.util - 2 :ok :add  11
INFO  jepsen.util - 4 :ok :add  13
INFO  jepsen.util - 0 :invoke :add  15
INFO  jepsen.util - 3 :invoke :add  16
INFO  jepsen.util - 1 :invoke :add  17
INFO  jepsen.util - 2 :invoke :add  18
INFO  jepsen.util - 4 :invoke :add  19
INFO  jepsen.util - 0 :ok :add  15
INFO  jepsen.util - 1 :ok :add  17
INFO  jepsen.util - 2 :ok :add  18
INFO  jepsen.util - 3 :ok :add  16
INFO  jepsen.util - 4 :ok :add  19
INFO  jepsen.util - 0 :invoke :add  20
INFO  jepsen.util - 1 :invoke :add  21
INFO  jepsen.util - 2 :invoke :add  22
INFO  jepsen.util - 3 :invoke :add  23
INFO  jepsen.util - 4 :invoke :add  24
INFO  jepsen.util - 2 :ok :add  22
INFO  jepsen.util - 4 :ok :add  24
INFO  jepsen.util - 1 :ok :add  21
INFO  jepsen.util - 0 :ok :add  20
INFO  jepsen.util - 3 :ok :add  23
INFO  jepsen.util - 2 :invoke :add  25
INFO  jepsen.util - 4 :invoke :add  26
INFO  jepsen.util - 1 :invoke :add  27
INFO  jepsen.util - 0 :invoke :add  28
INFO  jepsen.util - 3 :invoke :add  29
INFO  jepsen.util - 2 :ok :add  25
INFO  jepsen.util - 0 :ok :add  28
INFO  jepsen.util - 4 :ok :add  26
INFO  jepsen.util - 3 :ok :add  29
INFO  jepsen.util - 1 :ok :add  27
INFO  jepsen.util - 2 :invoke :add  30
INFO  jepsen.util - 0 :invoke :add  31
INFO  jepsen.util - 4 :invoke :add  32
INFO  jepsen.util - 3 :invoke :add  33
INFO  jepsen.util - 1 :invoke :add  34
INFO  jepsen.util - 0 :ok :add  31
INFO  jepsen.util - 3 :ok :add  33
INFO  jepsen.util - 2 :ok :add  30
INFO  jepsen.util - 4 :ok :add  32
INFO  jepsen.util - 1 :ok :add  34
INFO  jepsen.util - 0 :invoke :add  35
INFO  jepsen.util - 3 :invoke :add  36
INFO  jepsen.util - 2 :invoke :add  37
INFO  jepsen.util - 4 :invoke :add  38
INFO  jepsen.util - 1 :invoke :add  39
INFO  jepsen.util - 0 :ok :add  35
INFO  jepsen.util - 3 :ok :add  36
INFO  jepsen.util - 1 :ok :add  39
INFO  jepsen.util - 2 :ok :add  37
INFO  jepsen.util - 4 :ok :add  38
INFO  jepsen.util - 0 :invoke :add  40
INFO  jepsen.util - 3 :invoke :add  41
INFO  jepsen.util - 1 :invoke :add  42
INFO  jepsen.util - 4 :invoke :add  43
INFO  jepsen.util - 2 :invoke :add  44
INFO  jepsen.util - 3 :ok :add  41
INFO  jepsen.util - 2 :ok :add  44
INFO  jepsen.util - 0 :ok :add  40
INFO  jepsen.util - 4 :ok :add  43
INFO  jepsen.util - 1 :ok :add  42
INFO  jepsen.util - :nemesis  :info :start  nil
INFO  jepsen.util - 3 :invoke :add  45
INFO  jepsen.util - 2 :invoke :add  46
INFO  jepsen.util - 0 :invoke :add  47
INFO  jepsen.util - 4 :invoke :add  48
INFO  jepsen.util - 1 :invoke :add  49
INFO  jepsen.util - 2 :ok :add  46
INFO  jepsen.util - 3 :ok :add  45
INFO  jepsen.util - 0 :ok :add  47
INFO  jepsen.util - 4 :ok :add  48
INFO  jepsen.util - 1 :ok :add  49
INFO  jepsen.util - 2 :invoke :add  50
INFO  jepsen.util - 3 :invoke :add  51
INFO  jepsen.util - 0 :invoke :add  52
INFO  jepsen.util - 4 :invoke :add  53
INFO  jepsen.util - 1 :invoke :add  54
INFO  jepsen.util - 3 :ok :add  51
INFO  jepsen.util - 2 :ok :add  50
INFO  jepsen.util - 0 :ok :add  52
INFO  jepsen.util - :nemesis  :info :start  "Cut off {:n5 #{:n2 :n1}, :n4 #{:n2 :n1}, :n1 #{:n4 :n5}, :n2 #{:n4 :n5}}"
INFO  jepsen.util - 3 :invoke :add  55
INFO  jepsen.util - 2 :invoke :add  56
INFO  jepsen.util - 0 :invoke :add  57
INFO  jepsen.util - 3 :ok :add  55
INFO  jepsen.util - 3 :invoke :add  58
INFO  jepsen.util - 3 :ok :add  58
INFO  jepsen.util - 3 :invoke :add  59
INFO  jepsen.util - 4 :info :add  :timed-out
INFO  jepsen.util - 1 :info :add  :timed-out
INFO  jepsen.util - 9 :invoke :add  60
INFO  jepsen.util - 6 :invoke :add  61
INFO  jepsen.util - 2 :info :add  :timed-out
INFO  jepsen.util - 6 :ok :add  61
